id,c1_high,c2_high,c3_high,c4_high,water_diff
376,99.9,99.9,99.9,99.9,112.20715
377,99.9,99.9,99.9,99.9,112.20715
378,99.9,0.9,10.7,15.4,-6.19036
379,99.9,0.9,10.7,15.4,4.2949
380,99.9,0.9,10.7,15.4,4.2949
381,1.4,3.8,14.7,18.6,-14.98576
382,1.4,3.8,14.7,18.6,-14.98576
383,99.9,2.1,6.8,11.2,-4.59376
384,99.9,2.1,6.8,11.2,-4.59376
385,99.9,99.9,1.2,6,35.88226
386,3.9,6.5,16.7,21.6,-2.51946
387,99.9,99.9,7.9,12.6,21.70558
388,99.9,0.5,9.6,13.9,-6.61442
389,99.9,0.5,9.6,13.9,-6.61442
390,99.9,0.5,9.6,13.9,-6.61442
391,99.9,99.9,99.9,99.9,90.24912
392,99.9,99.9,99.9,99.9,90.24912
393,99.9,99.9,99.9,99.9,90.24912
394,99.9,0,10,14.6,-2.45595
395,99.9,99.9,99.9,99.9,108.15182
396,3.4,5.8,14.7,18.9,-16.48766
397,3.4,5.8,14.7,18.9,-16.48766
398,3.9,6.5,16.7,21.6,-16.63121
399,99.9,99.9,7.9,12.6,10.12589
400,99.9,99.9,7.9,12.6,10.12589
401,5.9,9.4,13.1,17.6,-6.72793
402,5.9,9.4,13.1,17.6,-6.72793
403,99.9,99.9,99.9,99.9,97.4035
404,3.3,5.6,14.9,19.3,-13.84247
405,3.3,5.6,14.9,19.3,-13.84247
406,3.3,5.6,14.9,19.3,-13.84247
407,3.3,5.6,14.9,19.3,-13.84247
408,3.4,5.8,16,20.2,-13.96912
409,3.4,5.8,16,20.2,-13.96912
410,3.3,5.4,12.6,16.9,-17.63131
411,3.3,5.4,12.6,16.9,-17.63131
412,3.3,5.4,12.6,16.9,-14.70834
413,2,4.2,14.6,18.4,-6.72018
414,2,4.2,14.6,18.4,-6.72018
415,99.9,99.9,7.9,12.6,2.41193
416,99.9,99.9,7.9,12.6,2.41193
417,6.9,10.2,13.4,18.2,-1.76836
418,6.9,10.2,13.4,18.2,-1.76836
419,6.9,10.2,13.4,18.2,-1.76836
420,99.9,99.9,0.6,5.5,41.6013
421,99.9,99.9,0.6,5.5,41.6013
422,99.9,99.9,0.6,5.5,41.6013
423,1.5,4,14.3,18.6,-16.39813
424,1.5,4,14.3,18.6,-16.39813
425,99.9,99.9,4.3,9.1,19.36462
426,6.4,9.7,13.4,17.9,-1.27294
427,6.4,9.7,13.4,17.9,-1.27294
